timestamp,open,high,low,close,volume,vwap,count,imp_vol,event_flags,tf,session,source_transport,source_url
1744311600000,526.17,529.43,518.2,524.7,21205486,523.871840421625,117347,0.4094,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1744308000000,524.19,529.71,520.31,526.07,12607209,525.795663097114,72633,0.4119,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1744304400000,519.67,525.55,512.87,524.28,15203961,519.782210408373,88375,0.4269,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1744300800000,518.56,520.55,509.32,519.76,22230285,515.644646531117,121636,0.4609,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1744297200000,526.29,528.7,517.91,518.6143,11535487,523.322656050768,58197,0.4435,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1744293600000,528.99,531.96,526.05,526.29,11046963,528.965045524394,65186,0.3839,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1744290000000,532.24,533.495,528.51,529.0025,10212042,531.160429832897,58522,0.3597,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
