timestamp,open,high,low,close,volume,vwap,count,imp_vol,event_flags,tf,session,source_transport,source_url
1739217600000,604.921,605.19,604.2446,604.79,4540911,604.745098913588,21635,0.1538,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1739214000000,605.05,605.4999,604.63,604.93,1543858,605.077644769402,7086,0.1539,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1739210400000,604.58,605.24,604.52,605.052,1164634,604.846692389025,6250,0.1535,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1739206800000,604.41,604.64,603.2108,604.59,1169875,603.886222318453,6419,0.154,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1739203200000,604.85,605.13,603.84,604.425,1691260,604.395558443113,9625,0.1558,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1739199600000,603.51,605.33,603.33,604.8688,2700156,604.635420840314,14869,0.1551,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1739196000000,603.99,604.1,602.74,603.49,2273745,603.424025974901,10790,0.1583,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
