timestamp,open,high,low,close,volume,vwap,count,imp_vol,event_flags,tf,session,source_transport,source_url
1750100400000,602.5,602.8,601.64,602.71,12593995,602.198001555503,73114,0.1927,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1750096800000,602.31,602.87,601.85,602.5046,4418863,602.409157559875,28432,0.1917,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1750093200000,602.73,603.71,602.13,602.3099,4871708,602.901979893458,31549,0.1931,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1750089600000,603.14,603.66,602.47,602.73,3807525,603.023214945063,23275,0.1922,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1750086000000,603.92,604.09,602.77,603.1399,5989800,603.544445496828,39519,0.19,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1750082400000,603.06,604.45,602.965,603.9188,8007421,603.805932797751,49992,0.1899,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1750078800000,600.4,603.41,600.22,603.05,8057575,601.871627470362,48184,0.1897,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
