date,market,is_open,opens_at,closes_at,late_option_closes_at,extended_opens_at,extended_closes_at,all_day_opens_at,all_day_closes_at,index_option_0dte_closes_at,index_option_non_0dte_closes_at,index_curb_opens_at,index_curb_closes_at,fx_is_open,fx_opens_at,fx_closes_at,fx_next_open_hours,previous_open_hours_url,next_open_hours_url,fetched_ts,source_transport,source_url
2025-11-18,XASE,true,1763476200000,1763499600000,1763500500000,1763474400000,1763506800000,1763427600000,1763514000000,1763499600000,1763500500000,1763500500000,1763503200000,true,1763416800000,1763503200000,1763503200000,https://api.robinhood.com/markets/XASE/hours/2025-11-17/,https://api.robinhood.com/markets/XASE/hours/2025-11-19/,1763429964454,http,https://api.robinhood.com/markets/XASE/hours/2025-11-18/
2025-11-19,XASE,true,1763562600000,1763586000000,1763586900000,1763560800000,1763593200000,1763514000000,1763600400000,1763586000000,1763586900000,1763586900000,1763589600000,true,1763503200000,1763589600000,1763589600000,https://api.robinhood.com/markets/XASE/hours/2025-11-18/,https://api.robinhood.com/markets/XASE/hours/2025-11-20/,1763521930409,http,https://api.robinhood.com/markets/XASE/hours/2025-11-19/
