timestamp,open,high,low,close,volume,vwap,count,imp_vol,event_flags,tf,session,source_transport,source_url
1747681200000,594.4,595.25,593.16,594.94,9910973,594.267852865708,58442,0.1835,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1747677600000,594.36,594.55,593.335,594.39,4490493,594.055969377371,26342,0.1832,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1747674000000,594.54,595.54,594.31,594.36,5091589,595.022312257058,29384,0.1841,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1747670400000,593.1057,594.76,588.9495,594.54,3790489,593.844619752359,21443,0.1838,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1747666800000,592.02,593.77,588.51,593.1,3571869,592.829222401997,21615,0.1866,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1747663200000,591.22,593.3,591.05,592.015,7129694,592.380016436091,40695,0.1891,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1747659600000,588.1,591.41,588.09,591.24,6418112,589.833451310791,38660,0.1904,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
