timestamp,open,high,low,close,volume,vwap,count,imp_vol,event_flags,tf,session,source_transport,source_url
1759431600000,669.38,669.63,668.82,669.15,9237278,669.19332331098,53934,0.1662,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1759428000000,668.89,669.73,668.85,669.39,3784272,669.420017002161,25353,0.1651,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1759424400000,668.415,669.08,667.94,668.895,3368211,668.602246730861,22710,0.1654,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1759420800000,668.35,668.59,667.55,668.42,2945462,668.103568900431,20276,0.1657,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1759417200000,667.57,668.42,666.78,668.35,4825894,667.536620784232,33082,0.1666,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1759413600000,669.41,669.5299,667.54,667.565,6220373,668.530200074192,42651,0.1669,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
1759410000000,670.47,670.565,668.75,669.42,6738814,669.649179557812,44329,0.1623,0,1h,rth+eth,ws,wss://api.robinhood.com/marketdata/streaming/legend/
